r_def,t_loc_tri,ent,n_hog,sex,eda,cs_p12,cs_p13_1,e_con,ur,clase1,rama,ing7c,alta_educacion_ingreso_missing,pre_asa,tip_con_2,anios_esc,hrsocup,ing_x_hrs,mh_col
0,1,9,1,2,26,1,7,6,1,1,3,1,0,1,sin_contrato,16,36,0,1
0,1,9,1,1,21,1,3,6,1,1,1,1,0,2,sin_contrato,9,33,45.45455,1
0,1,9,1,2,25,1,7,6,1,1,4,7,1,1,contrato,16,28,0,0
0,1,9,1,1,30,1,3,5,1,1,4,2,0,1,contrato,9,40,50,0
0,1,9,1,1,43,1,3,5,1,1,3,2,0,0,No_aplica,9,60,46.51163,1
0,1,9,1,1,21,1,4,6,1,1,3,3,0,1,contrato,12,40,0,0
0,1,9,1,2,54,1,3,5,1,1,4,7,0,1,contrato,9,16,0,0
0,1,9,1,2,33,1,4,1,1,1,4,1,0,2,contrato,12,30,38.75969,1
0,1,9,1,1,42,1,7,1,1,1,1,7,1,1,contrato,16,72,0,0
0,1,9,1,1,34,1,4,6,1,1,4,7,0,1,contrato,12,50,0,0
0,1,9,1,2,29,1,4,2,1,1,4,1,0,1,contrato,12,60,0,0
0,1,9,1,1,39,1,4,5,1,1,4,1,0,0,No_aplica,12,35,0,1
0,1,9,1,2,54,1,4,1,1,1,4,1,0,1,sin_contrato,12,0,0,1
0,1,9,1,2,23,1,4,6,1,1,4,2,0,1,contrato,12,36,51.67959,0
0,1,9,1,1,58,1,2,5,1,1,2,1,0,0,No_aplica,6,30,23.25581,1
0,1,9,1,2,58,1,8,6,1,1,4,7,1,1,contrato,19,48,0,0
0,1,9,1,1,44,1,8,6,1,1,4,3,0,1,sin_contrato,18,58,0,0
0,2,9,1,1,25,1,2,6,1,1,4,1,0,2,sin_contrato,6,54,22.22222,1
0,1,9,1,2,65,1,3,5,1,1,4,7,0,0,No_aplica,9,32,0,1
0,1,9,1,1,54,1,8,6,1,1,4,5,0,0,No_aplica,18,35,863.78738,0
0,1,9,1,2,32,1,6,1,1,1,3,1,0,1,sin_contrato,15,19,42.10526,1
0,1,9,1,2,27,1,7,1,1,1,4,5,0,1,contrato,16,44,0,0
0,1,9,1,2,26,1,7,6,1,1,3,2,0,1,no_especificado,16,50,0,0
0,1,9,1,2,21,1,4,6,1,1,4,1,0,2,sin_contrato,12,60,17.82946,1
0,1,9,1,2,35,1,4,1,1,1,4,1,0,2,sin_contrato,12,35,40,1
0,1,9,1,2,27,1,3,6,1,1,3,1,0,1,sin_contrato,9,48,29.16667,1
0,1,9,1,2,73,1,8,5,1,1,4,3,0,0,No_aplica,19,30,0,0
0,1,9,1,2,42,1,7,6,1,1,4,3,0,0,No_aplica,16,60,0,0
0,1,9,1,2,42,1,4,1,1,1,4,1,0,2,sin_contrato,12,36,0,1
0,1,9,1,1,53,1,3,5,1,1,2,1,0,0,No_aplica,9,36,0,1
0,1,9,1,2,46,1,4,1,1,1,4,6,0,0,No_aplica,12,8,0,1
0,1,9,1,1,35,1,7,1,1,1,4,7,1,1,contrato,17,50,0,0
0,1,9,1,2,22,1,6,6,1,1,4,1,0,1,contrato,12,54,0,0
0,1,9,1,1,27,1,3,1,1,1,3,1,0,2,sin_contrato,9,78,19.23077,1
0,1,9,1,2,43,1,3,2,1,1,4,1,0,1,contrato,9,40,41.86047,0
0,1,9,1,2,36,1,8,1,1,1,4,4,0,1,contrato,19,40,162.7907,0
0,1,9,1,1,26,1,2,1,1,1,2,1,0,2,contrato,6,54,0,0
0,1,9,1,1,40,1,3,6,1,1,3,7,0,0,No_aplica,9,66,0,0
0,1,9,1,1,54,1,7,6,1,1,3,4,0,0,No_aplica,15,26,268.33631,0
0,1,9,1,1,30,1,4,6,1,1,4,1,0,2,contrato,12,0,0,1
0,1,9,1,1,57,1,2,5,1,1,2,2,0,2,sin_contrato,6,45,66.66667,1
0,1,9,1,1,72,1,3,1,1,1,4,1,0,0,No_aplica,9,42,0,1
0,1,9,1,1,44,1,2,5,1,1,4,1,0,1,contrato,6,48,0,0
0,1,9,1,2,41,1,4,5,1,1,4,1,0,1,contrato,12,40,0,0
0,3,15,1,2,48,1,3,6,1,1,3,3,0,0,No_aplica,9,40,0,1
0,1,15,1,1,34,1,4,1,1,1,4,2,0,0,No_aplica,11,21,0,1
0,1,15,1,2,55,1,4,4,1,1,3,1,0,0,No_aplica,12,0,0,1
0,1,15,1,2,64,1,2,5,1,1,3,4,0,0,No_aplica,6,24,333.33333,0
0,1,15,1,1,60,1,4,1,1,1,4,2,0,1,contrato,12,40,0,0
0,1,15,1,2,42,1,7,6,1,1,4,2,0,1,contrato,13,40,0,0
0,1,15,1,1,46,1,6,2,1,1,5,2,0,1,contrato,12,40,46.51163,0
0,1,15,1,1,41,1,6,2,1,1,5,2,0,1,contrato,12,40,46.51163,0
0,1,15,1,2,32,1,4,2,1,1,4,1,0,1,contrato,12,70,0,0
0,1,15,1,2,36,1,4,1,1,1,4,6,0,0,No_aplica,12,7,0,1
0,1,15,1,1,56,1,4,5,1,1,3,2,0,1,contrato,11,63,39.68254,0
0,1,15,1,1,34,1,7,5,1,1,4,3,0,1,contrato,16,40,0,0
0,1,15,1,1,51,1,7,2,1,1,4,2,0,1,contrato,17,50,0,0
0,1,15,1,1,43,1,7,1,1,1,1,3,0,0,No_aplica,16,46,101.11223,0
0,1,15,1,2,28,1,3,1,1,1,1,6,0,0,No_aplica,9,46,0,1
0,1,15,1,2,19,1,4,6,1,1,1,1,0,2,sin_contrato,11,49,26.53061,1
0,1,15,1,2,46,1,3,5,1,1,2,1,0,1,contrato,9,44,0,0
0,2,15,1,2,69,1,3,5,1,1,3,1,0,0,No_aplica,9,50,12,0
0,1,15,1,1,65,1,7,5,1,1,3,1,0,1,contrato,16,48,35.85271,0
0,1,15,1,2,21,1,7,6,1,1,3,1,0,2,sin_contrato,13,28,0,1
0,1,15,1,2,28,1,7,2,1,1,4,1,0,1,contrato,13,40,0,0
0,2,15,1,1,69,1,7,5,1,1,4,7,1,1,contrato,16,40,0,0
0,1,15,1,2,47,1,3,1,1,1,4,1,0,1,sin_contrato,9,48,25,1
0,1,15,1,1,30,1,6,5,1,1,3,2,0,0,No_aplica,11,70,26.57807,1
0,1,15,1,2,21,1,4,6,1,1,4,1,0,2,sin_contrato,12,16,62.5,1
0,1,15,1,1,28,1,7,6,1,1,4,3,0,1,contrato,16,50,102.32558,0
0,2,15,1,2,41,1,4,1,1,1,4,5,0,1,contrato,12,35,0,0
0,1,15,1,1,32,1,7,5,1,1,4,4,0,1,contrato,17,40,174.4186,0
0,3,15,1,1,28,1,2,1,1,1,1,1,0,2,sin_contrato,6,6,75,1
0,2,15,1,2,33,1,4,6,1,1,3,1,0,2,sin_contrato,12,48,25,1
